zipcode,latitude,longitude
10001.0,40.74842928537984,-73.99418117563306
10002.0,40.717153438680135,-73.98920838958004
10003.0,40.73145599817471,-73.98864916264668
10004.0,40.701217756136366,-74.01315881363637
10005.0,40.7193064089404,-74.0068840768212
10006.0,40.70837866168224,-74.0133882953271
10007.0,40.71408278599508,-74.00830367346437
10009.0,40.72585274260563,-73.98080475960765
10010.0,40.73983493416342,-73.98511493626458
10011.0,40.740971094408735,-73.99956518904241
10012.0,40.72508811863195,-73.99802687243492
10013.0,40.7191668786418,-74.00238753040112
10014.0,40.73399254092159,-74.00490642651306
10016.0,40.74551073813379,-73.97968851678739
10017.0,40.7896239,-73.9598939
10018.0,40.75413469253611,-73.99042489133227
10019.0,40.76346147636595,-73.9860784241423
10020.0,40.75896808484849,-73.97958097424242
10021.0,40.77017507314433,-73.95967585
10022.0,40.75832090461705,-73.96797070695274
10023.0,40.77690340736133,-73.9811509375324
10024.0,40.78628185709261,-73.97561604872996
10025.0,40.797688200251976,-73.96763612055435
10026.0,40.803077829742236,-73.95281146820886
10027.0,40.810437002378556,-73.95048524006701
10028.0,40.77654628715645,-73.9537127205074
10029.0,40.792011340187756,-73.9445064277604
10030.0,40.818100609883324,-73.94311816561427
10031.0,40.82531187772664,-73.94836279627243
10032.0,40.8373069462524,-73.94100410506087
10033.0,40.84934710941092,-73.93524038692529
10034.0,40.865832592797005,-73.92171552984097
10035.0,40.79435949784745,-73.94170409840899
10036.0,40.759464877,-73.98927392747059
10037.0,40.801451304522615,-73.94603711809044
10038.0,40.709124612280704,-74.00438943662282
10039.0,40.82414740131772,-73.93940647408492
10040.0,40.851471114245015,-73.9333206945869
10044.0,40.76194785074627,-73.94991677910448
10045.0,40.7082331,-74.0085484
10048.0,40.711791275,-74.011912725
10065.0,40.766032625946245,-73.96469504410312
10069.0,40.77689134761904,-73.98821825238096
10075.0,40.77356657551488,-73.95651510080091
10103.0,40.7602772,-73.97628525
10111.0,40.75921423636364,-73.97781767272727
10112.0,40.759240033333334,-73.98006166666666
10115.0,40.81081752,-73.96372563999999
10118.0,40.74841458333333,-73.98563023333334
10119.0,40.751319075,-73.9926543875
10128.0,40.78172051454273,-73.95113225562218
10152.0,40.75838696666667,-73.97199376666666
10153.0,40.7635414,-73.9722114
10154.0,40.75780186666667,-73.97235886666667
10162.0,40.769456,-73.95013
10165.0,40.7896239,-73.9598939
10166.0,40.7533827,-73.9766738
10167.0,40.755155,-73.975336
10168.0,40.75117656666667,-73.97664825
10169.0,40.7545153,-73.97583545
10170.0,40.7524676,-73.9757799
10171.0,40.756408,-73.974423
10172.0,40.75578,-73.974881
10173.0,40.7538888,-73.97953886666666
10174.0,40.7516782,-73.975471475
10175.0,40.7896239,-73.9598939
10176.0,40.755884,-73.9790079
10177.0,40.7551097,-73.9759422
10178.0,40.751312,-73.978143
10199.0,40.7514899,-73.997656
10271.0,40.70809466666667,-74.01048526666666
10278.0,40.7154592,-74.0041935
10279.0,40.712601,-74.008658
10280.0,40.70794517352941,-74.01715638676471
